WEDNESDAY, AUG 24
Senior Manager, Accounts Payable  Rubicon Project (Sales) 
Data Sorcerer  Airmap (Other) 
Manager, Data Sourcing Group  Airmap (Other) 
Application Security Engineer   Airmap (Programming) 
Aeronautical Data Analyst  Airmap (Other) 
Senior Design Engineer - Tube Team  Hyperloop Technologies (Programming) 
Structural Analysis Engineer (ANSYS)  Hyperloop Technologies (Programming) 
Thermal Engineer   Hyperloop Technologies (Programming) 
Civil Structural Engineer -Transportation   Hyperloop Technologies (Programming) 
Design Engineer - Tube Engineering  Hyperloop Technologies (Programming) 
Development Engineer (Mechanical Design / Material Development)  Hyperloop Technologies (Programming) 
Project Architect  Hyperloop Technologies (Other) 
Senior Civil Structural Engineer  Hyperloop Technologies (Programming) 
Senior Electrical Test Technician (Medium Voltage)   Hyperloop Technologies (Other) 
Senior High Power Design Engineer  Hyperloop Technologies (Programming) 
Senior Mechanical Design Engineer (Transponics)  Hyperloop Technologies (Programming) 
Senior Motor Design Engineer   Hyperloop Technologies (Programming) 
Electromagnetic Design Engineer  Hyperloop Technologies (Programming) 
High Power Field Engineer   Hyperloop Technologies (Programming) 
Mechanical Design Engineer (Transponics)  Hyperloop Technologies (Programming) 
Medium Voltage Insulation Engineer  Hyperloop Technologies (Programming) 
Power Electronics Engineer  Hyperloop Technologies (Programming) 
Senior Electrical Engineer  Hyperloop Technologies (Programming) 
Advanced Embedded Systems Engineer (FPGA Emphasis)   Hyperloop Technologies (Programming) 
Electrical Hardware Engineer  Hyperloop Technologies (Programming) 
Electrical Software Engineer  Hyperloop Technologies (Programming) 
Electrical Systems Engineer   Hyperloop Technologies (Programming) 
Tooling Design Engineer  Hyperloop Technologies (Programming) 
Civil Structural Engineer  Hyperloop Technologies (Programming) 
Responsible Engineer � Development Loop  Hyperloop Technologies (Programming) 
Senior Design Engineer - Pod Team  Hyperloop Technologies (Programming) 
Electrical Technician   Hyperloop Technologies (Other) 
Test Engineer  Hyperloop Technologies (Programming) 
Facilities Planning Project Manager - Los Angeles  Hyperloop Technologies (Product) 
Design Engineer  Hyperloop Technologies (Programming) 
Legal Internship Summer 2016 (Los Angeles)  Hyperloop Technologies (Other, Internship) 
Non-Engineering Internship/Co-Op Summer 2016  Hyperloop Technologies (Programming, Internship) 
Business Intelligence Manager  Hyperloop Technologies (Other) 
Manufacturing Engineer  Hyperloop Technologies (Programming) 
Mechanical Design Engineer  Hyperloop Technologies (Programming) 
Senior Technician  Hyperloop Technologies (Other) 
Back-End Engineer  Insikt (Programming) 
Front-End Engineer  Insikt (Programming) 
Senior Product Manager  Bottlenose (Product) 
Lead Software Engineer  Bottlenose (Programming) 
QA Engineer  Bottlenose (Programming) 
Software Engineer  Bottlenose (Programming) 
SW Intern OC  Originate (Other, Internship) 
SW Intern LA  Originate (Other, Internship) 
Entry-Level SW Engineer LA  Originate (Programming) 
Entry Level SW Engineer LV  Originate (Programming) 
Entry-Level SW Engineer OC  Originate (Programming) 
Sales Assistant  Intersection (Sales) 
Account Executive  Intersection (Sales) 
Sales Engineer  Tremor Video (Programming) 
Technical Project Manager (Development)  Weedmaps (Product) 
Technical Writer  Weedmaps (Media) 
Build & Release Engineer  Weedmaps (Programming) 
Senior Network Engineer  Weedmaps (Programming) 
Senior iOS Developer  Weedmaps (Programming) 
Senior Software Engineer (Ruby & NodeJS)  Weedmaps (Programming) 
Senior Test Automation Engineer  Weedmaps (Programming) 
QA Intern  Weedmaps (Other, Internship) 
Scrum Master  Weedmaps (Other) 
Senior Android Developer  Weedmaps (Programming) 
UI/UX Designer  Weedmaps (Design) 
Director of Analytics  Weedmaps (Other) 
Director of Operations  Weedmaps (Other) 
 
MONDAY, MAR 21
Director, Financial Planning Operations  Learnvest (Other) 
 
FRIDAY, MAR 18
QA Lead  Huge (Other) 
 
THURSDAY, MAR 17
Head of LA Facilities  IAC (Other) 
 
WEDNESDAY, MAR 16
Data Scientist, BuzzFeed Motion Pictures  BuzzFeed (Other) 
 
TUESDAY, MAR 15
Operations Capacity Manager  Learnvest (Other) 
 
MONDAY, MAR 14
Global Partnerships Product Manager  TransferWise (Product) 
 
FRIDAY, MAR 11
Data Analyst  BuzzFeed (Other) 
 
WEDNESDAY, MAR 09
Associate General Manager - Los Angeles  DoorDash (Other) 
Business Analyst - Customer Support  Snapchat (Other) 
Director of Engineering - Data  Snapchat (Programming) 
Social Support Specialist   Snapchat (Other) 
Director of Engineering, Product Platform  Snapchat (Programming) 
Director of Engineering - Messaging  Snapchat (Programming) 
Information Security Engineer  Snapchat (Programming) 
Director of Engineering - QA  Snapchat (Programming) 
iOS Design Engineer  Snapchat (Programming) 
Product Manager, Live   Snapchat (Product) 
Mobile Prototype Developer  Snapchat (Programming) 
3D Computer Vision Engineer  Snapchat (Programming) 
Research Engineer  Snapchat (Programming) 
Business Analyst  Snapchat (Other) 
Data Scientist, Product Analytics   Snapchat (Product) 
Software Engineer - New Grad 2015-2016  Snapchat (Programming) 
Software Engineer  Snapchat (Programming) 
Technical Lead  Snapchat (Other) 
Software Engineer Intern  Snapchat (Programming, Internship) 
Monetization - Data Engineer  Snapchat (Programming) 
QA Engineer  Snapchat (Programming) 
Mobile Software Engineer  Snapchat (Programming) 
Construction Manager  WeWork (Other) 
Sr. Technical Recruiter  Fullscreen (Other) 
Production Designer  Fullscreen (Design) 
VP, Creator Marketing  Fullscreen (Marketing) 
Technical Support Specialist - Tier 2  Tigertext (Other) 
Security Architect  Tigertext (Other) 
Front End/Web Developer (Node)  Tigertext (Programming) 
SysOps / DevOps Engineer  Tigertext (Programming) 
Sr. iOS Software Engineer  Tigertext (Programming) 
Mobile User Acquisition Manager  Tigertext (Other) 
Enterprise Software Sales Engineer  Tigertext (Programming) 
General Manager Los Angeles  Tablelist (Other) 
Inside Sales Representative  Tapjoy (Sales) 
Operations Manager   Sprig (Other) 
General Manager   Sprig (Other) 
Dean of Engineering  Riot Games (Programming) 
Security Engineer  Riot Games (Programming) 
Engineering Recruiting Manager  Riot Games (Programming) 
Engineering Leadership  Riot Games (Programming) 
Esports Development Manager (Engineering)  Riot Games (Programming) 
Senior Network Engineer  Riot Games (Programming) 
Senior Systems Engineer  Riot Games (Programming) 
Engineering Manager - Merchandising  Riot Games (Programming) 
Full Stack Engineer  Pathmatics (Programming) 
Project Manager - LA  Mediamorph (Product) 
Android Development Instructor  General Assembly (Programming) 
Lead Data Science Instructor  General Assembly (Other) 
Developer (Game Design, Engineer, Art, etc)  Riot Games (Programming) 
Esports Senior Systems Engineer  Riot Games (Programming) 
Esports Network Engineer  Riot Games (Programming) 
Product Manager, Payments Platform  Fullscreen (Product) 
Product Manager - Mobile, Web, Living Room Devices  Fullscreen (Product) 
Ruby on Rails Programmer  Fullscreen (Programming) 
Senior iOS Engineer  Fullscreen (Programming) 
Senior Software Engineer, Back End  Fullscreen (Programming) 
Software Test Engineer  Fullscreen (Programming) 
Site Reliability Engineer  Fullscreen (Programming) 
Product Manager, Creator Platform  Fullscreen (Product) 
Sr. Director, Creator Network  Fullscreen (Other) 
Sales Engineer  Fastly (Programming) 
 
MONDAY, MAR 07
Lead, Software Development Engineer in Test  Omnigon Communications (Programming) 
Technical Project Manager  Omnigon Communications (Product) 
Business Intelligence Analyst  Fullscreen (Other) 
QA Automation Engineer  Omnigon Communications (Programming) 
Director of West Coast Sales (LA)  Tubular Labs (Sales) 
Head of Growth  Vrideo (Other) 
Software Engineer, Video Compression  Vrideo (Programming) 
Software Engineer, Recommendation and Search  Vrideo (Programming) 
Full-Stack Software Developer  Vrideo (Programming) 
Lead Product Designer  Vrideo (Design) 
Production Intern  Vrideo (Product, Internship) 
Software Engineer  Riot Games (Programming) 
 
FRIDAY, MAR 04
Social Ad Associate (LA)  Unified (Other) 
Web Engineer  Huge (Programming) 
Freelance Web Engineer  Huge (Programming) 
Network Engineer - LA  GPL Technologies (Programming) 
Service Desk Engineer - LA  GPL Technologies (Programming) 
System Administrator - LA  GPL Technologies (Other) 
Systems Engineer - LA  GPL Technologies (Programming) 
HR Manager  Managed By Q (Other) 
General Manager - Los Angeles  Managed By Q (Other) 
Supervisor   Managed By Q (Other) 
Senior Software Engineer, Ruby on Rails  Fullscreen (Programming) 
Product Designer, Mobile  Fullscreen (Design) 
Product Designer  Fullscreen (Design) 
Lead Mobile Engineer, Android  Fullscreen (Programming) 
Full Stack Software Engineer  Fullscreen (Programming) 
Front End Engineer  Fullscreen (Programming) 
Director of Engineering  Fullscreen (Programming) 
Data Engineer  Fullscreen (Programming) 
